Name,Ticker,Sub-Sector,Market Cap,Close Price,PE Ratio,5Y Historical Revenue Growth,1Y Forward Revenue Growth,Total Revenue,PBT,Taxes & Other Items,DII Holding Change,FII Holding Change,MF Holding Change,Promoter Holding Change,Percentage Buy Record,No. of analysts with buy reco,Percentage Upside
Garbi Finvest Ltd,GARBIFIN,Consumer Finance,43.61,37.05,1.47,129.8,NULL,36.53,31.23,1.55,0,0,0,0,NULL,0,NULL
Sical Logistics Ltd,SICAL,Logistics,43.57,7.45,-0.17,-19.33,NULL,358.1,-252.12,0.05,0,0,0,0.26,NULL,0,NULL
Vidli Restaurants Ltd,VIDLI,NULL,43.37,42,-4337.48,7.09,NULL,8.76,0.19,0.2,0,0,0,0,NULL,0,NULL
Sreechem Resins Ltd,SRECR,Commodity Chemicals,43.32,102.95,13.93,23.76,NULL,72.58,4.12,1.01,0,0,0,0.01,NULL,0,NULL
ANI Integrated Services Ltd,AISL,Construction & Engineering,43.25,46.85,8.33,18.05,NULL,144.3,5.77,0.58,NULL,NULL,NULL,NULL,NULL,0,NULL
Oceanic Foods Ltd,OCEANIC,Agro Products,43.23,36.65,16.19,9.6,NULL,124.07,3.43,0.76,0,0,0,0,NULL,0,NULL
Elegant Marbles and Grani Industries Ltd,ELEMARB,Building Products - Granite,43.18,118,16.05,-3.06,NULL,29.82,3.13,0.44,0,0,0,0,NULL,0,NULL
Sulabh Engineers and Services Ltd,SULABEN,Specialized Finance,43.18,4.25,47.98,-6.77,NULL,3.74,1.24,0.34,0,0,0,0,NULL,0,NULL
AD- Manum Finance Ltd,ADMANUM,Specialized Finance,43.1,57.5,17.66,-8.33,NULL,8.92,2,-0.44,0,0,0,0.09,NULL,0,NULL
Rathi Bars Ltd,RATHIBAR,Iron & Steel,43.09,26.1,15.07,21.52,NULL,493.93,3.18,0.32,0,0,0,0,NULL,0,NULL
Nippon India Silver ETF,SILVERBEES,Equity,43.02,61.21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
Kamadgiri Fashion Ltd,KAMADGIRI,Textiles,43,75.85,130.3,-3.12,NULL,257.5,0.95,0.62,0.09,0,0,0,NULL,0,NULL
Anjani Synthetics Ltd,ANJANI,Textiles,42.97,28.35,10.74,-3.67,NULL,306.82,4.85,0.85,0,0,0,0,NULL,0,NULL
United Van Der Horst Ltd,UVDRHOR,NULL,42.97,73.85,24.69,47.39,NULL,12.31,0.91,-0.83,0,0,-0.01,0,NULL,0,NULL
Diligent Media Corporation Ltd,DNAMEDIA,Publishing,42.94,3.8,1.79,-16.1,NULL,38.09,23.95,0,0,0,0,0,NULL,0,NULL
DK Enterprises Global Ltd,DKEGL,Packaging,42.92,57.2,12.33,NULL,NULL,94.22,4.26,0.78,NULL,NULL,NULL,NULL,NULL,0,NULL
Fervent Synergies Ltd,FERVENTSYN,Conglomerates,42.73,13.85,-178.03,-55.47,NULL,0.7,-0.2,0.04,0,0,0,0,NULL,0,NULL
LOYAL EQUIPMENTS Ltd,LOYAL,Industrial Machinery,42.71,40.1,-8.36,11.17,NULL,33.08,-5.16,-0.05,0,0,0,0,NULL,0,NULL
Modipon Ltd,MODIPON,Real Estate,42.69,36.05,63.72,-13.07,NULL,1.36,0.67,0,0,-0.59,0,0,NULL,0,NULL
H P Cotton Textile Mills Ltd,HPCOTTON,NULL,42.62,111,6.05,7.38,NULL,134.69,9.62,2.58,0,0,0,0,NULL,0,NULL
Austin Engineering Company Ltd,AUSTENG,Industrial Machinery,42.61,123,25.52,4.92,NULL,92.06,1.61,-0.06,0,-2.3,0,0.01,NULL,0,NULL
Burnpur Cement Ltd,BURNPUR,Cement,42.61,5,-0.72,21.78,NULL,200.14,-57.81,1.17,0,0,0,0,NULL,0,NULL
Yamini Investments Company Ltd,YAMNINV,NULL,42.56,0.8,202.67,-13.08,NULL,5.14,0.29,0.08,0,0,0,-1.9,NULL,0,NULL
