Name,Ticker,Sub-Sector,Market Cap,Close Price,PE Ratio,5Y Historical Revenue Growth,1Y Forward Revenue Growth,Total Revenue,PBT,Taxes & Other Items,DII Holding Change,FII Holding Change,MF Holding Change,Promoter Holding Change,Percentage Buy Record,No. of analysts with buy reco,Percentage Upside
Reliance Industries Ltd,RELIANCE,Oil & Gas - Refining & Marketing,1778090.09,2712.2,29.29,17.94,30.54,718061,84142,23437,0.32,-0.31,0.04,-0.05,77.42,24,3.16
Tata Consultancy Services Ltd,TCS,IT Services & Consulting,1241655.02,3397.35,32.4,9.89,13.3,195772,51687,13360,0.22,-0.44,-0.04,0,51.22,21,1.55
HDFC Bank Ltd,HDFCBANK,Private Banks,891794.75,1597.85,23.44,14.24,-27.6,167695.4,50873.38,12820.63,0.6,-0.18,-0.03,-0.09,91.89,34,14.22
Infosys Ltd,INFY,IT Services & Consulting,680667.91,1629.05,30.79,11.62,18.13,123936,30110,8000,9.13,-0.42,0.23,0,80.95,34,2.97
ICICI Bank Ltd,ICICIBANK,Private Banks,653338.26,946.75,26.02,6.8,-49.98,157536.32,34241.28,9131.17,-0.53,1.22,-0.4,0,97.5,39,14.5
Hindustan Unilever Ltd,HINDUNILVR,FMCG - Household Products,592991.93,2634.2,66.79,9.35,10.75,52887,11879,3000,-0.45,0.74,0.06,0,71.79,28,8.38
State Bank of India,SBIN,Public Banks,542852.65,608.55,15.35,6.39,-32.31,406973.09,49738.63,14364.75,0.31,0.34,0.11,-0.05,95.24,40,17.49
Bharti Airtel Ltd,BHARTIARTL,Telecom Services,483495.48,835.85,113.63,4.14,13.89,122048.4,12483.1,8228.2,-1.33,3.34,-1.4,-0.8,80,24,10.31
Housing Development Finance Corporation Ltd,HDFC,Home Financing,483449.47,2665.25,21.4,18.86,-83.89,144937.87,28251.82,5657.13,0.07,0.02,-0.12,0,96,24,10.68
Adani Enterprises Ltd,ADANIENT,Commodities Trading,442777.48,3878.4,570.18,13.52,1.8,70432.69,952.05,175.49,-0.35,-0.23,-0.52,0.35,0,0,-9.45
ITC Ltd,ITC,FMCG - Tobacco,421780.45,342.3,27.67,7.02,13.58,62521.92,20740.47,5497.81,-0.42,30.01,-0.41,0,91.18,31,16.13
Bajaj Finance Ltd,BAJFINANCE,Consumer Finance,409206.07,6734.15,58.22,25.93,-10.19,31640.41,9503.78,2475.55,0.13,0.52,0.32,0,57.14,16,23.4
Life Insurance Corporation Of India,LICI,Insurance,398128.91,636.8,96.52,NULL,11.72,724744.32,12137.88,8013.17,-0.15,0.05,-0.1,0,81.82,9,33.48
Adani Total Gas Ltd,ATGL,Gas Distribution,396279.6,3600,777.93,22.25,NULL,3079.31,679.04,169.64,0.23,-0.12,0.01,0,NULL,0,NULL
Kotak Mahindra Bank Ltd,KOTAKBANK,Private Banks,383187.92,1925.55,31.7,11.68,-55.61,59051.01,15948.31,3858.91,2.68,0.38,0.94,-0.01,60,24,9.06
Adani Green Energy Ltd,ADANIGREEN,Renewable Energy,315159.63,2012.05,644.5,57.51,29.72,5642,553,64,0.29,-0.66,-0.02,0.25,0,0,-68.79
Adani Transmission Ltd,ADANITRANS,Power Infrastructure,302817.63,2782.7,251.38,34.05,-0.55,12543.94,1700.49,495.88,0.16,-0.08,-0.02,0,100,2,6.57
HCL Technologies Ltd,HCLTECH,IT Services & Consulting,302730.9,1128.95,22.43,12.26,15.81,86718,16951,3452,1,-0.73,-0.2,0,66.67,26,-2.56
Asian Paints Ltd,ASIANPAINT,Paints,301983.25,3135.05,99.65,10.86,20.42,29512.86,4187.72,1157.15,0.36,0.05,0.18,0,41.67,15,7.33
Larsen & Toubro Ltd,LT,Construction & Engineering,289970.57,2050.55,33.45,7.43,13.75,158885.24,14507.66,5838.33,6.01,1.02,-0.31,0,97.22,35,11.53
Axis Bank Ltd,AXISBANK,Private Banks,273949.74,892.55,19.4,8.38,-33.18,86114.19,18929.46,4810.17,0.79,-0.46,0.47,-0.02,95.12,39,17.64
Maruti Suzuki India Ltd,MARUTI,Four Wheelers,271281.49,8985.4,69.93,5.05,30.62,90236.4,4697.2,817.7,0.15,-0.05,1.22,0,69.57,32,19.69
Bajaj Finserv Ltd,BAJAJFINSV,Insurance,262701.23,1632,57.65,22.8,12.19,68438.98,11270.58,6713.81,-0.42,-0.17,-0.57,-0.05,66.67,6,5.09
Avenue Supermarts Ltd,DMART,Retail - Department Stores,252991.47,3965.1,169.5,21.13,41.66,31093.76,2064.12,571.57,0.19,0.13,0.02,0,34.62,9,5.92
Sun Pharmaceutical Industries Ltd,SUNPHARMA,Pharmaceuticals,248134.41,1049.85,75.82,4.29,9.97,39729.96,4481.32,1208.59,0.05,1.05,0.38,0,89.19,33,10.19
Titan Company Ltd,TITAN,"Precious Metals, Jewellery & Watches",230009.59,2613.75,105.85,16.85,28.14,29033,2904,731,0.64,0.27,-0.22,0,73.33,22,14.78
Wipro Ltd,WIPRO,IT Services & Consulting,221956.83,405.15,18.15,6.98,11.55,81378.9,15140.8,2911.2,4.53,1.93,-0.43,-0.04,22.5,9,2.8
UltraTech Cement Ltd,ULTRACEMCO,Cement,198584.64,6928.9,27.04,15.4,15.27,53268.26,8524.32,1180.01,-0.75,1.45,-0.12,0,88.1,37,9.9
Nestle India Ltd,NESTLEIND,FMCG - Foods,190946.83,20121.2,89.03,9.75,13.78,14829.52,2883.77,738.91,-0.27,0.4,0.03,0,60,21,4.37
Adani Ports and Special Economic Zone Ltd,ADANIPORTS,Ports,189685.25,878.2,40.12,14.04,10.13,18281.66,5541.16,813.07,NULL,NULL,NULL,NULL,90.91,20,8.06
Oil and Natural Gas Corporation Ltd,ONGC,Oil & Gas - Exploration & Production,175523.95,140.25,3.86,11.12,34.03,500171.36,54091.11,8568.99,0.71,-1.01,0.76,0,72,18,23.71
JSW Steel Ltd,JSWSTEEL,Iron & Steel,171848.33,732.55,8.32,21.7,8.99,148819,29745,9080,0.17,0.14,-0.5,0.18,13.79,4,-18.71
NTPC Ltd,NTPC,Power Generation,165140.17,170.15,9.9,10.45,3.33,137580.05,22007.39,5331.49,-0.01,0.95,0.28,0,95.65,22,16.66
Tata Motors Ltd,TATAMOTORS,Four Wheelers,155685.53,433.15,-13.61,0.72,15.86,281617.5,-7003.41,4438.06,-0.34,0.43,-0.29,0,67.74,21,15.9
Power Grid Corporation of India Ltd,POWERGRID,Power Transmission & Distribution,154281.73,219.35,9.17,11.71,-6.3,46341.99,19609.64,2785.57,-1.37,1.45,-0.13,0,77.27,17,13.97
Tata Motors Ltd,TATAMTRDVR,Four Wheelers,151860.11,227.45,-11.62,NULL,20.09,252437.94,-10473.28,2599.15,5.21,0.4,2.88,0,100,1,20.57
Mahindra and Mahindra Ltd,M&M,Four Wheelers,149460.45,1250.7,22.72,1.73,-13.56,93545.23,9361.77,2784.45,-0.42,0.33,0.2,-0.06,88.1,37,20.17
Coal India Ltd,COALINDIA,Mining - Coal,141572.28,227.2,8.16,6.36,15.13,113618.02,23616.28,6258.18,0.03,0.19,-0.09,0,72.73,16,19.06
Pidilite Industries Ltd,PIDILITIND,Diversified Chemicals,136776.48,2727.95,113.27,11.7,20.58,9969.14,1613.78,406.22,0.27,0.21,0.07,0,16.67,3,-10.19
Tata Steel Ltd,TATASTEEL,Iron & Steel,128067.91,106.1,3.19,16.87,-6.25,246198.63,50226.87,10072.94,-0.7,-0.43,-1.91,0,63.33,19,10.74
Hindustan Zinc Ltd,HINDZINC,Mining - Diversified,127154.27,303.15,13.21,9.2,4.63,30656,14100,4471,0,-0.04,0.01,0,15.38,2,-2.69
Adani Power Ltd,ADANIPOWER,Power Generation,126534.28,324.7,25.76,6.59,NULL,31686.47,6577.13,1665.55,0,-4.34,0,0,NULL,0,NULL
HDFC Life Insurance Company Ltd,HDFCLIFE,Insurance,125868.15,584.85,94.86,17.14,-19.66,67891.6,1487.25,160.32,-0.05,1.15,-0.06,-1.2,96.77,30,15.76
SBI Life Insurance Company Ltd,SBILIFE,Insurance,125370.35,1253.5,83.25,22.32,-17.33,84015.6,1686.91,180.92,3.36,0.43,-0.3,-0.02,96.97,32,29.4
Vedanta Ltd,VEDL,Metals - Diversified,115119.04,301.85,6.12,11.97,-0.49,135332,32964,14162,-1.2,-0.59,-1.28,0,57.14,8,4.36
Ambuja Cements Ltd,AMBUJACEM,Cement,112811.82,564.95,40.57,7.36,-3.6,29338.13,5164.47,2384.09,1.54,-1.77,0.32,0.02,46.15,18,-14.15
Grasim Industries Ltd,GRASIM,Cement,112729.11,1716.95,14.93,21.27,NULL,97418.54,13142.6,5592.82,1.52,4.42,-0.9,-0.01,77.78,7,10.66
Indian Oil Corporation Ltd,IOC,Oil & Gas - Refining & Marketing,107544.56,75.3,4.28,10.53,31.64,593653.52,34288.62,9186.39,-0.12,-0.97,-0.38,0,61.29,19,2.26
Tech Mahindra Ltd,TECHM,IT Services & Consulting,104808.1,1074.55,18.83,8.87,15.73,45761.1,7452.1,1886,3.07,-2.22,0.06,-0.02,59.46,22,9.12
Bajaj Auto Ltd,BAJAJ-AUTO,Two Wheelers,103977.62,3676.7,16.86,9.04,3.8,35824.89,7651.68,1485.81,-0.79,0.41,-0.94,1.08,50,22,11.24
Britannia Industries Ltd,BRITANNIA,FMCG - Foods,101423.11,4285.35,66.51,9.3,13.89,14359.09,2078.33,553.51,7.52,0.53,0.7,0,66.67,24,0.34
Dabur India Ltd,DABUR,FMCG - Personal Products,98916.18,593.1,56.87,7.35,4.98,11281.84,2268.68,529.46,2.64,0.01,-0.24,0,74.36,29,4.87
Siemens Ltd,SIEMENS,Conglomerates,98402.33,2778.7,63.78,7.07,-3.34,16726.7,1992.8,449.9,-0.11,0.6,0.55,0,73.91,17,8.25
DLF Ltd,DLF,Real Estate,97770.43,392.55,65.14,-8.22,3.55,6137.85,1164.6,-336.26,0.23,-0.03,0.03,0,84.21,16,13.36
Hindalco Industries Ltd,HINDALCO,Metals - Aluminium,96509.51,435.95,7.03,14.2,3.69,197042,19103,5373,9.03,0.1,-1.09,0,95,19,18.59
Eicher Motors Ltd,EICHERMOT,Trucks & Buses,94055.21,3416.1,56.1,7.71,32.07,10798.8,2202.51,525.91,-0.08,0.75,-0.35,0,68.29,28,15.28
Indusind Bank Ltd,INDUSINDBK,Private Banks,92826.6,1180.6,19.32,15.53,-33.34,38230.07,6432.82,1627.78,1.57,1.08,-0.16,0,84.09,37,18.58
Hindustan Aeronautics Ltd,HAL,Aerospace & Defense Equipments,92325.33,2752.15,18.17,6.14,2.34,25604.95,5224.53,144.49,-2.24,1.29,0.08,0,87.5,7,14.64
Divi's Laboratories Ltd,DIVISLAB,Labs & Life Sciences Services,89560.88,3372.7,30.25,17,-10.35,9073.7,3683.5,723.05,0.8,-1.12,-0.23,0,28.57,6,1.55
Cipla Ltd,CIPLA,Pharmaceuticals,88870.33,1121.15,35.31,8.56,6.06,22044.25,3493.27,976.52,0.39,0.04,0.39,0,71.05,27,9.75
Godrej Consumer Products Ltd,GODREJCP,FMCG - Personal Products,87295.18,865.65,48.95,5.81,7.52,12421.66,2155.26,371.87,0.42,0.39,-0.03,0,85.29,29,9.74
Bank of Baroda Ltd,BANKBARODA,Public Banks,86753.5,167.85,11.05,10.87,-45.47,87780.19,10008.3,2158.61,2.06,0.7,-0.11,0,87.5,28,2.17
Larsen & Toubro Infotech Ltd,LTI,IT Services & Consulting,86611.96,4912.15,37.71,19.26,21.85,16135.4,3097.4,800.6,0.02,-0.28,-0.35,-0.02,44.83,13,-3.2
Shree Cement Ltd,SHREECEM,Cement,84476.56,23426.1,36.23,11.67,11.54,15555.45,2891.82,559.88,-0.11,0.51,-0.56,0,32.5,13,-6.94
Adani Wilmar Ltd,AWL,FMCG - Foods,81912.58,622.75,101.92,18.66,7.98,54385.89,1058.76,255.03,0.09,0.13,0,0,20,1,-6.06
Bharat Electronics Ltd,BEL,Electronic Equipments,78463.78,106.15,32.71,11.44,14.26,15599.72,3166.24,767.37,-2.14,1.37,-1.24,0,78.26,18,16.82
Varun Beverages Ltd,VBL,Soft Drinks,76818.86,1183.3,110.68,18.84,41.33,9243.19,1006.61,312.55,-0.86,1.08,-0.87,0,80,12,4.37
SBI Cards and Payment Services Ltd,SBICARD,Payment Infrastructure,76798.21,817.3,47.52,26.63,12.93,11301.52,2172.16,556.02,0.79,0.53,0.36,-0.22,83.33,20,32.14
Havells India Ltd,HAVELLS,Electrical Components & Equipments,76484.01,1234.85,63.92,17.46,17.44,14098.92,1606.56,410.09,0.85,0.21,-0.5,0,46.15,18,7.1
Tata Consumer Products Ltd,TATACONSUM,Tea & Coffee,74679.24,805.05,79.8,12.7,9.59,12565.43,1455.99,520.21,0.91,0.26,0.29,0,79.17,19,6.83
Bharat Petroleum Corporation Ltd,BPCL,Oil & Gas - Refining & Marketing,73876.57,340.75,6.32,11.51,31.36,351730.5,16036.73,4355.23,0.2,-0.21,-3.04,0,62.5,20,7.41
Interglobe Aviation Ltd,INDIGO,Airlines,73704.57,1911.35,-11.96,6.59,98.19,26656.53,-6153.67,8.16,1.44,1.34,0.95,-2.84,76.19,16,21.62
Dr Reddy's Laboratories Ltd,DRREDDY,Pharmaceuticals,73055.62,4453.35,33.47,8.99,6.36,22099.9,3061.4,878.9,-0.49,10.47,-1.37,0,82.05,32,11.96
Tata Power Company Ltd,TATAPOWER,Power Transmission & Distribution,71727.79,223.45,41.19,9.35,12.15,46099,2535.17,793.71,-0.19,0.19,0.47,0,40,8,5.17
Bajaj Holdings and Investment Ltd,BAJAJHLDNG,Asset Management,71136.33,6395.3,17.54,38.8,NULL,4380.18,4225.9,170.22,0.03,0.25,0,0,NULL,0,NULL
SRF Ltd,SRF,Diversified Chemicals,68897.1,2320.95,36.47,20.72,20.21,12549.17,2585.55,696.63,4.66,0.01,0.02,-0.2,80,20,23.87
Apollo Hospitals Enterprise Ltd,APOLLOHOSP,Hospitals & Diagnostic Centres,67855.56,4719.2,64.28,15.48,11.12,15034.9,1578.1,522.5,-0.36,0.6,1.18,0,100,23,9.66
ABB India Ltd,ABB,Heavy Electrical Equipments,65726.36,3015.2,126.47,-3.81,19.26,7214.96,711.49,191.78,3.31,1.86,-0.57,0,45.83,11,6.79
ICICI Prudential Life Insurance Company Ltd,ICICIPRULI,Insurance,65439.9,471.1,86.2,11.22,-37.8,64590.61,960.92,201.72,-0.05,0.5,-0.48,-0.05,77.42,24,37.97
United Spirits Ltd,MCDOWELL-N,Alcoholic Beverages,65386.88,907.45,78.91,1.78,8.05,9748.4,1086.6,258,0.76,-0.69,0.99,0,56.52,13,4.14
Marico Ltd,MARICO,FMCG - Personal Products,62792.31,502.4,51.26,12.1,-6.89,10647,1601,376,1.67,-0.16,0.15,0,56.41,22,15.45
GAIL (India) Ltd,GAIL,Gas Distribution,60950.45,94.15,4.97,13.97,38.11,95706.73,15463.52,3207.45,-1.37,-0.13,-1.67,0.01,70,21,16.83
Berger Paints India Ltd,BERGEPAINT,Paints,60132.23,612.2,72.2,13.63,21.55,8830.23,1122.29,289.47,-0.4,0.1,0.43,0,26.09,6,3.07
Cholamandalam Investment and Finance Company Ltd,CHOLAFIN,Consumer Finance,59150.54,714.75,27.47,16.85,-33.59,10231.81,2907.6,754.09,-0.5,0.73,-0.73,-0.02,74.19,23,18.57
Canara Bank Ltd,CANBK,Public Banks,58772.64,321.75,9.6,13.84,NULL,94256.89,9145.02,3020.18,1.55,0.47,0.31,0,76.92,10,-4.9
Punjab National Bank,PNB,Public Banks,58766.43,53.4,15.22,9.13,NULL,88571.12,4826.09,965.35,0.84,0.23,0.83,0,17.65,3,-25.09
UPL Ltd,UPL,Fertilizers & Agro Chemicals,58488.89,774.85,16.13,22.69,14.01,46655,4966,1340,0.74,6.32,0.73,0,96.15,25,32.03
Indian Railway Catering and Tourism Corporation Ltd,IRCTC,Online Services,58040.01,723,87.45,4.47,70.19,1975.43,889.51,225.82,0.25,-0.06,-0.01,0,16.67,1,-16.25
ICICI Lombard General Insurance Company Ltd,ICICIGI,Insurance,56869.13,1175.7,44.74,17.49,9.84,16836.02,1683.52,412.5,0.64,-0.92,0.24,-0.01,70.83,17,24.39
IDBI Bank Ltd,IDBI,Public Banks,56795.14,54.3,22.42,-6.17,NULL,23277.74,2557.08,23.4,-0.05,0.02,0,0,0,0,-22.65
Hero MotoCorp Ltd,HEROMOTOCO,Two Wheelers,55592.16,2828.25,23.99,0.44,15.64,30106.29,3058.11,741.23,1.31,-1.05,1.25,0,56.82,25,4.66
Torrent Pharmaceuticals Ltd,TORNTPHARM,Pharmaceuticals,55345.94,1636.2,71.21,7.59,9.53,8704.6,1225.91,448.73,-0.5,0.57,-1.06,0,67.74,21,8.2
Indus Towers Ltd,INDUSTOWER,Telecom Infrastructure,54749.11,203.3,8.59,28.49,0.12,28175.7,8430.7,2057.6,-0.05,-0.12,0,0.19,23.81,5,0.84
Union Bank of India Ltd,UNIONBANK,Public Banks,54272.15,82.2,10.31,16.41,NULL,81754.07,8566.33,3301.02,0.15,0.3,0.15,0,33.33,2,-36.13
Zomato Ltd,ZOMATO,Online Services,53658.14,63.55,-44.39,74.47,38.46,5010.3,-1220.5,-11.8,36.19,15.48,2.2,0,73.91,17,41.62
Tube Investments of India Ltd,TIINDIA,Cycles,52991.03,2743.7,68.92,22.79,18.19,12654.09,1151.81,382.98,-0.62,0.4,-0.06,-0.01,60,3,5.48
Page Industries Ltd,PAGEIND,Apparel & Accessories,52758.47,47092.35,98.33,12.66,31.84,3907.45,708.78,172.24,1.28,0.1,0.67,0,23.81,5,8.86
PI Industries Ltd,PIIND,Diversified Chemicals,51873.06,3375,61.48,18.5,22.86,5404.5,1032.8,189,0.31,0.75,0.61,-0.66,65.38,17,9.78
JSW Energy Ltd,JSWENERGY,Power Generation,51145.36,308.9,29.59,0.61,9.53,8744.38,2238.27,509.65,0.29,0.07,-0.02,0,9.09,1,-32.83
Trent Ltd,TRENT,Retail - Apparel,51131.79,1456.95,483.15,19.76,63.87,4678.37,111.22,5.39,0.59,-0.89,0.69,0,56.25,9,7.9
Jindal Steel And Power Ltd,JINDALSTEL,Iron & Steel,50946.92,515,8.86,18.78,2.61,51216,9690.49,3937.44,-0.87,0.38,-1,0.75,65.22,15,2.33
Fsn E-Commerce Ventures Ltd,NYKAA,Wellness Services,50899.11,175.7,1238.72,NULL,38.51,3800.91,47.32,6.23,-0.08,-0.4,0.12,-0.02,75,15,47.13
Info Edge (India) Ltd,NAUKRI,Online Services,50708.34,3961.15,3.97,73.82,-85.89,15399.46,14200.11,1440.55,0.51,-0.91,-0.87,0,52.38,11,23.83
TVS Motor Company Ltd,TVSMOTOR,Two Wheelers,50355.23,1060.5,66.54,14.07,6.9,24390.67,1066.79,309.97,-3.13,2.78,-1.07,0,57.5,23,15.37
Bosch Ltd,BOSCHLTD,Auto Parts,50033.75,16973.6,41.07,1.42,NULL,12177.8,1499.9,281.6,-0.15,0.06,1.31,0,40,2,0.77
Samvardhana Motherson International Ltd,MOTHERSON,Auto Parts,49508.35,73.3,56.66,8.51,14.14,64411.9,1788.4,914.6,0.07,-0.74,0.1,0,75,15,28.24
Macrotech Developers Ltd,LODHA,Real Estate,48124.13,997.3,40.02,2.4,2.25,9580.15,1716.54,514.17,0.83,-0.62,0.02,0,73.33,11,30.55
ACC Ltd,ACC,Cement,47429.58,2514.05,25.46,8.04,20.42,16370.03,2506.38,643.39,-1.62,-0.68,-0.57,2.16,53.85,21,-3.4
Container Corporation of India Ltd,CONCOR,Logistics,46585.34,765,44.15,4.81,5.78,8041.35,1394.47,339.35,1.05,0.41,0.09,0,56,14,2.61
Indian Hotels Company Ltd,INDHOTEL,"Hotels, Resorts & Cruise Lines",46258.22,325.85,-186.74,-5.01,68.65,3227,-258.18,-10.46,-0.24,1.18,1.14,0,71.43,10,11.25
Patanjali Foods Ltd,PATANJALI,Packaged Foods & Meats,46235.65,1246.3,57.34,5.4,31.51,24284.39,1074.39,268.07,1.52,-0.11,0.07,0,100,1,38.41
HDFC Asset Management Company Ltd,HDFCAMC,Asset Management,46184.77,2173.65,33.15,8.91,-6.72,2433.2,1855.29,462.16,0.96,5.05,0.9,-6,70,14,2.25
Procter & Gamble Hygiene and Health Care Ltd,PGHH,FMCG - Personal Products,45778.98,14092.85,79.51,10.36,0.29,3925.24,790.14,214.39,0.38,-0.36,0.09,0,0,0,1.12
Schaeffler India Ltd,SCHAEFFLER,Auto Parts,45224.98,2832.95,71.89,24.77,21.35,5632.89,843.14,214.02,-1.15,0.8,-0.98,0,33.33,2,-0.28
United Breweries Ltd,UBL,Alcoholic Beverages,44348.03,1680.15,121.35,4.18,32.29,5868.23,494.44,128.98,0.86,-0.76,1.01,0,64.71,11,8.32
Ashok Leyland Ltd,ASHOKLEY,Trucks & Buses,44017.65,148.55,-122.75,2.55,20.65,26772.99,-199.59,159.02,-2.21,2.56,-2.14,0,85,34,21.17
NHPC Ltd,NHPC,Renewable Energy,43922.82,42.7,12.47,-1.28,-1.19,10213.67,3217.35,-306.22,0.12,-0.08,0.9,0,100,9,17.1
Indian Railway Finance Corp Ltd,IRFC,Specialized Finance,43820.68,35.3,7.2,17.54,NULL,20301.6,6090.15,0.32,0.13,0.04,0.13,0,100,1,NULL
Muthoot Finance Ltd,MUTHOOTFIN,Consumer Finance,43734.45,1087.05,10.89,15.56,-39.76,12237.46,5410.18,1393.57,1.28,-1.02,1.15,-0.01,60,12,16.32
Indian Overseas Bank,IOB,Public Banks,43262.68,22.45,25.31,NULL,NULL,21641.17,1778.8,69.52,0.02,0.01,0.02,0,0,0,-37.64
CG Power and Industrial Solutions Ltd,CGPOWER,Heavy Electrical Equipments,43016.95,279.85,47.14,2.09,10.94,6191.45,1035.39,122.85,1.91,0.1,1.57,0,75,3,-5.66
Yes Bank Ltd,YESBANK,Private Banks,42948.34,17.05,40.36,1.67,-45.73,22423.52,1433.69,369.64,0.24,0.77,0.01,0,0,0,-17.89
Colgate-Palmolive (India) Ltd,COLPAL,FMCG - Personal Products,42926.95,1602.6,39.81,4.97,4.07,5126.04,1409.01,330.69,0.44,0.77,-0.14,0,22.58,7,1.09
Abbott India Ltd,ABBOTINDIA,Pharmaceuticals,42752.87,20130.75,53.53,11.04,10.08,4996.48,1079.73,281.03,-0.09,0,0.83,0,55.56,5,7.92
Max Healthcare Institute Ltd,MAXHEALTH,Hospitals & Diagnostic Centres,42621,442.9,70.44,19.47,42.73,4058.82,738.9,133.85,1.75,25.93,1.65,-26.84,100,8,12.89
AU Small Finance Bank Ltd,AUBANK,Consumer Finance,42537.5,627.35,37.65,27.04,-21.43,6915.42,1454.06,324.24,2.92,3.45,2.12,-2.63,54.55,12,7.83
Tata Elxsi Ltd,TATAELXSI,Software Services,42305.67,6796.95,76.97,14.91,23.47,2515.33,745.48,195.82,-0.3,0.2,-0.12,0,14.29,1,-9.52
L&T Technology Services Ltd,LTTS,Software Services,40752.37,3846.35,42.58,15.25,18.78,6722.1,1309.2,352.2,3.91,-0.3,-0.92,-0.02,24,6,-11.73
Zydus Lifesciences Ltd,ZYDUSLIFE,Pharmaceuticals,40460.8,405.35,9.02,13.43,-7.36,17848.3,5083.8,596.5,0.99,-0.25,0.74,0.1,46.67,14,13.48
Bharat Forge Ltd,BHARATFORG,Iron & Steel,39974.36,848.75,36.95,10.23,12.59,10833.99,1380.51,298.75,0.4,0.48,-0.85,0,71.43,20,9.75
Balkrishna Industries Ltd,BALKRISIND,Tires & Rubber,39501.93,2035,27.52,17.04,18.22,8733.04,1982.15,546.77,7.75,-1.34,0.09,0,47.83,11,3.19
Gujarat Fluorochemicals Ltd,FLUOROCHEM,Specialty Chemicals,39048.83,3486.9,49.61,NULL,37.25,4114.14,1045.18,258.01,-0.35,0.89,-0.38,0,100,6,31.29
MRF Ltd,MRF,Tires & Rubber,38799.41,92565.15,57.98,7.39,16.23,19633.71,907.93,238.7,0.04,0.41,0.96,-0.06,10,1,-18.59
Cummins India Ltd,CUMMINSIND,Industrial Machinery,38520.66,1390.4,41.25,4.81,9.9,6637.62,1206.98,273.24,1.7,0,1.46,0,58.33,14,2.63
Astral Ltd,ASTRAL,Building Products - Pipes,38173.51,1882.05,78.9,18.4,17.59,4428.9,648.5,164.7,0.77,0.19,0.5,0.12,38.1,8,8.55
Polycab India Ltd,POLYCAB,Electrical Components & Equipments,38128.87,2528.2,41.97,17.27,10.49,12365.74,1187.91,279.34,1.33,0.73,-0.67,-0.02,61.54,16,11.74
Mphasis Ltd,MPHASIS,IT Services & Consulting,37852.13,2003.65,26.45,13.92,17.49,12121.89,1912.9,482.02,-0.37,0.23,-1.27,-0.02,60.71,17,18.28
Star Health and Allied Insurance Company Ltd,STARHEALTH,Insurance,37348.98,642.5,-35.89,39.45,22.63,10610.09,-1396.64,-355.96,-0.65,0.7,0.24,-0.21,62.5,10,24.59
Tata Communications Ltd,TATACOMM,Telecom Services,37297.34,1274.2,25.17,-3.06,3.77,17098.76,1999.98,518.22,0.96,-0.86,0.91,0,71.43,5,1.24
Alkem Laboratories Ltd,ALKEM,Pharmaceuticals,36813.5,3121.65,22.37,13.23,5.55,10796.84,1844.28,198.66,1.64,-1.21,1.57,0.02,43.48,10,7.64
IDFC First Bank Ltd,IDFCFIRSTB,Private Banks,36634.91,58,276.91,16.22,-21.51,20345.28,174.96,42.66,-0.34,8.3,-1.1,-0.01,50,6,1.72
Honeywell Automation India Ltd,HONAUT,Electronic Equipments,36505.71,41027.8,107.65,4.36,12.12,3030.66,457.62,118.49,-0.02,0.01,0.15,0,42.86,3,10.35
Jubilant Foodworks Ltd,JUBLFOOD,Restaurants & Cafes,36397.52,546.05,86.58,11.3,19.41,4437.47,563.26,142.88,2.74,-1.14,1.23,0,64.52,20,19.04
Bandhan Bank Ltd,BANDHANBNK,Private Banks,36118.96,234.15,287.14,31.04,-26.84,16693.94,128.62,2.83,5.38,-1.45,0.8,0,73.08,19,40.94
Godrej Properties Ltd,GODREJPROP,Real Estate,35899.13,1278.55,101.88,8.33,-22.85,2585.69,516.33,163.96,-0.38,-0.23,-0.04,0.06,33.33,7,10.99
Power Finance Corporation Ltd,PFC,Specialized Finance,35515.92,134.5,2.53,22.56,NULL,76344.92,23382.22,9367.43,4.53,0.6,-0.74,0,100,4,33.83
Gujarat Gas Ltd,GUJGASLTD,Gas Distribution,34692.95,498.7,26.95,26.44,7.57,16548.71,1715.16,427.79,3.02,-0.15,0.61,0,53.57,15,13.5
NMDC Ltd,NMDC,Mining - Iron Ore,34283.84,117.15,3.66,22.26,-33.3,26600.25,12973.56,3594.51,-1.15,0.06,-1.27,0,68.42,13,7.13
Shriram Transport Finance Company Ltd,SRTRANSFIN,Consumer Finance,34195.13,1270.3,12.57,12.07,-44.09,19274.23,3549.25,828.15,-0.71,0.67,0.28,0.07,75,24,19.74
Indian Bank,INDIANB,Public Banks,33932.02,267.95,8.19,20.43,NULL,46268.15,4734.48,592.67,0.47,0.5,0.96,0,90,9,8.23
Steel Authority of India Ltd,SAIL,Iron & Steel,33892.93,82.75,2.77,18.49,-2.25,104753.51,16291.87,4048.4,0.6,0.1,0.6,0,41.67,10,8.76
Solar Industries India Ltd,SOLARINDS,Commodity Chemicals,33870.76,3717.25,76.76,20.02,52.22,3967.27,607.42,166.14,-0.13,0.02,-0.2,0,50,3,13.66
Hindustan Petroleum Corp Ltd,HINDPETRO,Oil & Gas - Refining & Marketing,33813.74,238.5,4.64,13.1,17.66,353810.15,9143.62,1849.39,1.57,-1.48,0.73,0,61.29,19,0.63
Biocon Ltd,BIOCON,Biotechnology,33531.04,282.1,51.71,15.62,26.65,8396.7,983.1,334.7,0.04,-0.51,0.16,0,63.64,14,25.84
